403 | 01 - TNT & GENERALISTES | 6ter (1080p)
403 | 01 - TNT & GENERALISTES | arte (720p)
403 | 01 - TNT & GENERALISTES | C Star (1080p)
FAIL | 01 - TNT & GENERALISTES | Clubbing TV France
TIMEOUT | 01 - TNT & GENERALISTES | France 4
403 | 01 - TNT & GENERALISTES | France 5 (720p)
TIMEOUT | 01 - TNT & GENERALISTES | like Gecko) Chrome/149.0.0.0 Safari/537.3" group-title="01 - TNT & GENERALISTES",France 3
FAIL | 01 - TNT & GENERALISTES | like Gecko) Chrome/149.0.0.0 Safari/537.36" group-title="01 - TNT & GENERALISTES",TF1 (576p)
403 | 01 - TNT & GENERALISTES | M6 Music (720p)
403 | 01 - TNT & GENERALISTES | TFX (720p)
FAIL | 01 - TNT & GENERALISTES | TVM 3 (1080p)
403 | 01 - TNT & GENERALISTES | W9 (1080p)
403 | 02 - INFOS | CNA (360p) [Not 24/7]
403 | 02 - INFOS | LCI HD (1080p)
403 | 02 - INFOS | like Gecko) Chrome/108.0.0.0 Safari/537.36" group-title="02 - INFOS",BFM Alsace (1080p)
403 | 02 - INFOS | like Gecko) Chrome/108.0.0.0 Safari/537.36" group-title="02 - INFOS",BFM DICI Alpes du Sud (1080p)
403 | 02 - INFOS | like Gecko) Chrome/108.0.0.0 Safari/537.36" group-title="02 - INFOS",BFM DICI Haute-Provence (1080p)
403 | 02 - INFOS | like Gecko) Chrome/108.0.0.0 Safari/537.36" group-title="02 - INFOS",BFM Grand Lille (1080p)
403 | 02 - INFOS | like Gecko) Chrome/108.0.0.0 Safari/537.36" group-title="02 - INFOS",BFM Grand Littoral (1080p)
403 | 02 - INFOS | like Gecko) Chrome/108.0.0.0 Safari/537.36" group-title="02 - INFOS",BFM Lyon (1080p)
403 | 02 - INFOS | like Gecko) Chrome/108.0.0.0 Safari/537.36" group-title="02 - INFOS",BFM Marseille (1080p)
403 | 02 - INFOS | like Gecko) Chrome/108.0.0.0 Safari/537.36" group-title="02 - INFOS",BFM Nice Côte d'Azur (1080p)
403 | 02 - INFOS | like Gecko) Chrome/108.0.0.0 Safari/537.36" group-title="02 - INFOS",BFM Normandie (1080p)
403 | 02 - INFOS | like Gecko) Chrome/108.0.0.0 Safari/537.36" group-title="02 - INFOS",BFM Tech & Co (1080p)
403 | 02 - INFOS | like Gecko) Chrome/108.0.0.0 Safari/537.36" group-title="02 - INFOS",BFM Toulon Var (1080p)
403 | 02 - INFOS | NW Info FR (576p)
TIMEOUT | 02 - INFOS | Press TV French (1080p)
404 | 03 - CRIME & ENQUETES | Crime Scene TV
404 | 04 - REPORTAGES & DOCS | Documentary+
FAIL | 04 - REPORTAGES & DOCS | Evasion TV
404 | 04 - REPORTAGES & DOCS | Stingray Naturescape
404 | 04 - REPORTAGES & DOCS | TV5MONDE Voyage
403 | 05 - ANIMAUX & NATURE | Ici Radio-Canada Télé Terre-Neuve-et-Labrador (CBAFT-DT) [Geo-blocked]
404 | 05 - ANIMAUX & NATURE | Nature Time
403 | 06 - VOYAGE & DECOUVERTE | TiVi5 Monde [Geo-blocked]
TIMEOUT | 06 - VOYAGE & DECOUVERTE | TV5Monde Asia (1080p)
403 | 06 - VOYAGE & DECOUVERTE | TV5Monde Info (1080p) [Geo-blocked]
404 | 06 - VOYAGE & DECOUVERTE | TV5Monde Latin America (720p)
403 | 06 - VOYAGE & DECOUVERTE | TV5Monde Pacifique (1080p) [Geo-blocked]
404 | 07 - CUISINE | Cooking Panda
404 | 07 - CUISINE | TV5MONDE Chefs
TIMEOUT | 09 - CINEMA | Box Office Action
404 | 09 - CINEMA | Ciné Charme by Pluto TV
403 | 09 - CINEMA | Cine+ Emotion (720p)
404 | 09 - CINEMA | CINEPRIDE
FAIL | 09 - CINEMA | Death Valley Days
FAIL | 09 - CINEMA | Dick Van Dyke
404 | 09 - CINEMA | FilmRise Série Populaire
FAIL | 09 - CINEMA | Grjngo - Western Movies
FAIL | 09 - CINEMA | Hot Ones
TIMEOUT | 09 - CINEMA | like Gecko) Chrome/149.0.0.0 Safari/537.3" group-title="09 - CINEMA",Cine+ Frisson (1080p)
FAIL | 09 - CINEMA | Maverick Black Cinema
FAIL | 09 - CINEMA | Movie Music by Stingray
403 | 09 - CINEMA | Moviesphere
404 | 09 - CINEMA | MOVIESPHERE
FAIL | 09 - CINEMA | Sony One Action HITS
404 | 09 - CINEMA | Sony One | Hits Action
FAIL | 09 - CINEMA | Sony One HITS Comédie
404 | 09 - CINEMA | Sony One | Hits Comédie
404 | 09 - CINEMA | Sony One | Séries Comédie
404 | 09 - CINEMA | Sony One | Séries Thriller
FAIL | 09 - CINEMA | Surf Cinema
FAIL | 09 - CINEMA | The Wiggles
403 | 09 - CINEMA & SERIES | AB1 (720p)
403 | 09 - CINEMA & SERIES | Nollywood TV (720p)
404 | 09 - CINEMA & SERIES | Novela Channel (720p) [Not 24/7]
403 | 09 - CINEMA & SERIES | RTL9 (720p)
404 | 09 - CINEMA & SERIES | SciFi (720p)
403 | 09 - CINEMA & SERIES | TV Breizh (1080p)
FAIL | 10 - SERIES | Asian Drama
404 | 10 - SERIES | Génération Sitcoms TV
403 | 10 - SERIES | Serie Club (720p)
403 | 10 - SERIES | Serie Max
404 | 10 - SERIES | Soap
FAIL | 11 - EMISSIONS & DIVERTISSEMENT | Animation+
TIMEOUT | 11 - EMISSIONS & DIVERTISSEMENT | Boss Brothers TV (1080p)
404 | 11 - EMISSIONS & DIVERTISSEMENT | TG Junior
TIMEOUT | 12 - SPORT | Equidia (1080p)
403 | 12 - SPORT | Foot+
FAIL | 12 - SPORT | FTF Sports
404 | 12 - SPORT | GFN Football TV
403 | 12 - SPORT | like Gecko) Chrome/120.0.0.0 Safari/537.36 VLC/3.0.21 LibVLC/3.0.21" group-title="12 - SPORT",RMC Sport 1
FAIL | 12 - SPORT | like Gecko) Chrome/149.0.0.0 Safari/537.36" group-title="12 - SPORT",Canal+ Sport 360
FAIL | 12 - SPORT | Poker Night TV
FAIL | 12 - SPORT | PokerGO
FAIL | 12 - SPORT | Racing America
FAIL | 12 - SPORT | SportsGrid
FAIL | 12 - SPORT | The World Poker Tour
FAIL | 12 - SPORT | The World Poker Tour
FAIL | 12 - SPORT | Women's Sports Network
TIMEOUT | 14 - MUSIQUE | Congo Planet Télévision (1080p) [Not 24/7]
403 | 14 - MUSIQUE | Couleur 3 (720p)
TIMEOUT | 14 - MUSIQUE | Fun Vision
403 | 14 - MUSIQUE | Ici Radio-Canada Télé (1080p) [Geo-blocked]
403 | 14 - MUSIQUE | Ici Radio-Canada Télé Colombie-Britannique/Yukon (CBUFT-DT) [Geo-blocked]
403 | 14 - MUSIQUE | Ici Radio-Canada Télé Est du Québec (CJBR-DT) [Geo-blocked]
403 | 14 - MUSIQUE | Ici Radio-Canada Télé Estrie (CKSH-DT) [Geo-blocked]
403 | 14 - MUSIQUE | Ici Radio-Canada Télé Manitoba (CBWFT-DT) [Geo-blocked]
403 | 14 - MUSIQUE | Ici Radio-Canada Télé Mauricie/Centre-du-Québec (CKTM-DT) [Geo-blocked]
403 | 14 - MUSIQUE | Ici Radio-Canada Télé Ontario (CBLFT-DT) [Geo-blocked]
403 | 14 - MUSIQUE | Ici Radio-Canada Télé Ottawa/Gatineau (CBOFT-DT) [Geo-blocked]
403 | 14 - MUSIQUE | Ici Radio-Canada Télé Québec (CBVT-DT) [Geo-blocked]
403 | 14 - MUSIQUE | Ici Radio-Canada Télé Saguenay/Lac-St-Jean (CKTV-DT) [Geo-blocked]
403 | 14 - MUSIQUE | Ici Radio-Canada Télé Saskatchewan (CBKFT-DT) [Geo-blocked]
403 | 14 - MUSIQUE | MCM Top (1080p)
