name,group,status,url,error
6ter (1080p),01 - TNT & GENERALISTES,403,http://145.239.5.177/314/index.m3u8,http://145.239.5.177/314/index.m3u8: Server returned 403 Forbidden (access denied)
arte (720p),01 - TNT & GENERALISTES,403,http://145.239.5.177/300/index.m3u8,http://145.239.5.177/300/index.m3u8: Server returned 403 Forbidden (access denied)
C Star (1080p),01 - TNT & GENERALISTES,403,http://145.239.5.177/361/index.m3u8,http://145.239.5.177/361/index.m3u8: Server returned 403 Forbidden (access denied)
Clubbing TV France,01 - TNT & GENERALISTES,FAIL,https://d1j2csarxnwazk.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-uze1m6xh4fiyr-ssai-prd/master.m3u8,https://d1j2csarxnwazk.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-uze1m6xh4fiyr-ssai-prd/master.m3u8: Server returned 5XX Server Error reply
France 24 French (1080p),01 - TNT & GENERALISTES,OK,https://live.france24.com/hls/live/2037179-b/F24_FR_HI_HLS/master_5000.m3u8,
France 3 Cote d'Azur,01 - TNT & GENERALISTES,OK,http://89.187.185.76:8080/France3/index.m3u8,
France 3 Lorraine (1080p),01 - TNT & GENERALISTES,OK,http://5.180.164.197:8080/FRANCE3/index.m3u8,
France 4,01 - TNT & GENERALISTES,TIMEOUT,http://176.65.146.100:8047/play/a074/index.m3u8,[tcp @ 0x558b81f72540] Connection to tcp://176.65.146.100:8047 failed: Connection timed out http://176.65.146.100:8047/play/a074/index.m3u8: Connection timed out
France 5 (720p),01 - TNT & GENERALISTES,403,http://145.239.5.177/305/index.m3u8,http://145.239.5.177/305/index.m3u8: Server returned 403 Forbidden (access denied)
La maison France 5,01 - TNT & GENERALISTES,OK,https://jmp2.uk/plu-685a999bd33909bdd7d2fb1e.m3u8,
La Maison France 5,01 - TNT & GENERALISTES,OK,https://jmp2.uk/stvp-FR4200001BN,
"like Gecko) Chrome/149.0.0.0 Safari/537.3"" group-title=""01 - TNT & GENERALISTES"",France 3",01 - TNT & GENERALISTES,TIMEOUT,http://85.14.32.26:8800/udp/239.100.10.144:5000,[tcp @ 0x5629edf29980] Connection to tcp://85.14.32.26:8800 failed: Connection timed out http://85.14.32.26:8800/udp/239.100.10.144:5000: Connection timed out
"like Gecko) Chrome/149.0.0.0 Safari/537.3"" group-title=""01 - TNT & GENERALISTES"",Gulli",01 - TNT & GENERALISTES,OK,http://99.27.51.147:8080/Gulli/index.m3u8,
"like Gecko) Chrome/149.0.0.0 Safari/537.3"" group-title=""01 - TNT & GENERALISTES"",M6 (1080p)",01 - TNT & GENERALISTES,OK,http://99.27.51.147:8080/M6/index.m3u8,"[h264 @ 0x55da4bfb34c0] mmco: unref short failure     Last message repeated 1 times [h264 @ 0x55da4bfb34c0] number of reference frames (0+5) exceeds max (4; probably corrupt input), discarding one [h264 @ 0x55da4bfb34c0] mmco: unref short failure     Last message repeated 1 times [h264 @ 0x55da4bfb3"
"like Gecko) Chrome/149.0.0.0 Safari/537.36"" group-title=""01 - TNT & GENERALISTES"",TF1 (576p)",01 - TNT & GENERALISTES,OK,https://futbol9865.ultratv13.workers.dev/deportivo111/24.m3u8,
"like Gecko) Chrome/149.0.0.0 Safari/537.36"" group-title=""01 - TNT & GENERALISTES"",TMC (1080p)",01 - TNT & GENERALISTES,OK,http://151.80.18.177:86/TMC/index.m3u8,
M6 Music (720p),01 - TNT & GENERALISTES,403,http://145.239.5.177/320/index.m3u8,http://145.239.5.177/320/index.m3u8: Server returned 403 Forbidden (access denied)
TFX (720p),01 - TNT & GENERALISTES,403,http://145.239.5.177/315/index.m3u8,http://145.239.5.177/315/index.m3u8: Server returned 403 Forbidden (access denied)
TVM 3 (1080p),01 - TNT & GENERALISTES,FAIL,https://cache1a.netplus.ch/tok_eyJhbGciOiJIUzUxMiIsInR5cCI6IkpXVCJ9.eyJleHAiOiIxNzY4MTg5NzQyIiwic2lwIjoiIiwicGF0aCI6Ii9saXZlL2Vkcy90dm0zL2Jyb3dzZXItSExTOC8iLCJzZXNzaW9uX2Nkbl9pZCI6IjNhZmJlZTIxMmU1NjUyODEiLCJzZXNzaW9uX2lkIjoiIiwiY2xpZW50X2lkIjoiIiwiZGV2aWNlX2lkIjoiIiwibWF4X3Nlc3Npb25zIjowLCJzZXNzaW9uX2R1cmF0aW9uIjowLCJ1cmwiOiJodHRwczovLzEwLjAuMjI5LjE5Iiwic2Vzc2lvbl90aW1lb3V0IjowLCJhdWQiOiI1MyIsInNvdXJjZXMiOls0OF19.N29uj_Xo3YmdQUboW5e45wx4lUey-utXtC6RpbbCGgJ8uCl2ngejd8tu_S-3tv7s02OtkHo4Rkf7mitOx_7lcA==/live/eds/tvm3/browser-HLS8/tvm3.m3u8,https://cache1a.netplus.ch/tok_eyJhbGciOiJIUzUxMiIsInR5cCI6IkpXVCJ9.eyJleHAiOiIxNzY4MTg5NzQyIiwic2lwIjoiIiwicGF0aCI6Ii9saXZlL2Vkcy90dm0zL2Jyb3dzZXItSExTOC8iLCJzZXNzaW9uX2Nkbl9pZCI6IjNhZmJlZTIxMmU1NjUyODEiLCJzZXNzaW9uX2lkIjoiIiwiY2xpZW50X2lkIjoiIiwiZGV2aWNlX2lkIjoiIiwibWF4X3Nlc3Npb25zIjowLCJzZXNzaW9u
W9 (1080p),01 - TNT & GENERALISTES,403,https://origin-m6web.live.6cloud.fr/out/v1/6play/6play-w9/cmaf_q2hyb21h/hls-short-hd.m3u8,https://origin-m6web.live.6cloud.fr/out/v1/6play/6play-w9/cmaf_q2hyb21h/hls-short-hd.m3u8: Server returned 403 Forbidden (access denied)
7 Info,02 - INFOS,OK,https://video1.getstreamhosting.com:1936/8042/8042/playlist.m3u8,
Africanews French (720p),02 - INFOS,TIMEOUT,https://cdn-euronews.akamaized.net/live/eds/africanews-fr/25050/index.m3u8,ffprobe timeout 10s
AL24 News,02 - INFOS,OK,https://cdn.live.easybroadcast.io/abr_corp/66_al24_u4yga6h/corp/66_al24_u4yga6h_240p/chunks.m3u8,
BFM 2,02 - INFOS,OK,https://jmp2.uk/stvp-FR1400003Y0,
BFM Business,02 - INFOS,OK,https://jmp2.uk/stvp-FRBD4100006OC,
BFM Grands Reportages,02 - INFOS,OK,https://jmp2.uk/stvp-FR300004J5,
BFM TV,02 - INFOS,OK,https://jmp2.uk/stvp-FRBD410000783,
BFM2 (1080p),02 - INFOS,OK,https://d1ib1gsg71oarf.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-scp7wda722jph/BFM2_FR.m3u8,
CGTN French (1080p),02 - INFOS,OK,http://145.239.5.177/214/index.m3u8,
CNA (360p) [Not 24/7],02 - INFOS,403,https://live.creacast.com/cna/stream/playlist.m3u8,https://live.creacast.com/cna/stream/playlist.m3u8: Server returned 403 Forbidden (access denied)
CNews (1080p),02 - INFOS,TIMEOUT,https://raw.githubusercontent.com/Paradise-91/ParaTV/main/streams/canalplus/cnews-dm.m3u8,ffprobe timeout 10s
CNEWS PRIME (1080p),02 - INFOS,OK,https://raw.githubusercontent.com/Paradise-91/ParaTV/main/streams/canalplus/cnews-prime-dm.m3u8,
Diaspora 24 [Geo-blocked],02 - INFOS,OK,https://vdo3.pro-fhi.net:3218/stream/play.m3u8,
Euronews Français,02 - INFOS,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6245f06793b402a3d1097787/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-6245f06793b402a3d1097787/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP: Server returned 404 Not Found
Euronews French (720p),02 - INFOS,TIMEOUT,https://2f6c5bf4.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/UmxheHhUVi1ldV9FdXJvbmV3c0ZyYW5jYWlzX0hMUw/playlist.m3u8,ffprobe timeout 10s
Filinfo TV (1080p),02 - INFOS,OK,https://d2iqjnqfr8pv3b.cloudfront.net/out/v1/d09d2fc718404cd8bccd3eba2444dd70/index.m3u8,
Haiti News Channel (1080p) [Not 24/7],02 - INFOS,OK,https://cdn.haititivi.com/website/haitinews/index.m3u8,
HMI PROMZ NEWS (720p),02 - INFOS,OK,https://video1.getstreamhosting.com:1936/8326/8326/playlist.m3u8,
i24NEWS French (1080p),02 - INFOS,OK,https://i24newsfrench-cdn.encoders.immergo.tv/master.m3u8,
LCI HD (1080p),02 - INFOS,403,http://145.239.5.177/368/index.m3u8,http://145.239.5.177/368/index.m3u8: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Alsace (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_ALSACE/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_ALSACE/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Business (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_BUSINESS/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_BUSINESS/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM DICI Alpes du Sud (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_DICI_ALPESDUSUD/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_DICI_ALPESDUSUD/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM DICI Haute-Provence (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_DICI_HAUTEPROVENCE/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_DICI_HAUTEPROVENCE/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Grand Lille (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFMGRANDLILLE/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFMGRANDLILLE/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Grand Littoral (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFMGRANDLITTORAL/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFMGRANDLITTORAL/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Lyon (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_LYON/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_LYON/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Marseille (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_MARSEILLEPROV/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_MARSEILLEPROV/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Nice Côte d'Azur (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_NICECOTEDAZUR/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_NICECOTEDAZUR/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Normandie (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_NORMANDIE/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_NORMANDIE/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Tech & Co (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_TECHANDCO/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_TECHANDCO/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM Toulon Var (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_TOULONVAR/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_TOULONVAR/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/108.0.0.0 Safari/537.36"" group-title=""02 - INFOS"",BFM TV (1080p)",02 - INFOS,403,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_TV/index.m3u8?end=END&start=LIVE,https://ncdn-live-bfm.pfd.sfr.net/shls/LIVE$BFM_TV/index.m3u8?end=END&start=LIVE: Server returned 403 Forbidden (access denied)
Monaco Info (1080p),02 - INFOS,OK,https://webtv.monacoinfo.com/live/prod/index.m3u8,
NW Info FR (576p),02 - INFOS,403,https://hls.newworldtv.com/nw-info/video/live.m3u8,https://hls.newworldtv.com/nw-info/video/live.m3u8: Server returned 403 Forbidden (access denied)
Press TV French (1080p),02 - INFOS,OK,https://live4.presstv.ir/live/smil:presstvfr.smil/playlist.m3u8,
Trailers From Hell,02 - INFOS,OK,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-61d738b5a7b7c7f703418514/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,
100% Docs Crime,03 - CRIME & ENQUETES,OK,https://jmp2.uk/stvp-FRBD39000064E,
Crime Beat TV,03 - CRIME & ENQUETES,OK,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-68c98e7460586565cc56baab/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,
Crime - Rakuten TV,03 - CRIME & ENQUETES,OK,https://jmp2.uk/stvp-FR2600009UG,
Crime Scene TV,03 - CRIME & ENQUETES,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-685f150c593aba51f211823f/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-685f150c593aba51f211823f/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP: Server returned 404 Not Found
Crimes Enquêtes Faits Divers,03 - CRIME & ENQUETES,OK,https://jmp2.uk/stvp-FR600002ZR,
Docs & enquêtes by Society+,03 - CRIME & ENQUETES,TIMEOUT,https://jmp2.uk/stvp-FR15000010E,ffprobe timeout 10s
Enquêtes Criminelles,03 - CRIME & ENQUETES,OK,https://jmp2.uk/plu-66f55d0b5e4a6e0008c2b920.m3u8,
Enquêtes de Choc,03 - CRIME & ENQUETES,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-63ae180c6d1144b79ce121d7/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-63ae180c6d1144b79ce121d7/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP: Server returned 404 Not Found
Enquêtes de Choc,03 - CRIME & ENQUETES,OK,https://jmp2.uk/plu-63921a1bf76e7d0007c998a6.m3u8,
Enquêtes de Choc,03 - CRIME & ENQUETES,OK,https://jmp2.uk/stvp-FRBC90000220,
IntoCrime,03 - CRIME & ENQUETES,404,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-67db068f92cb453db28ab017/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP,https://epg.provider.plex.tv/library/parts/6430aa45fc3be5947780904e-67db068f92cb453db28ab017/?X-Plex-Token=g3EZxNuuFrv_ASYC64AP: Server returned 404 Not Found
IntoCrime,03 - CRIME & ENQUETES,OK,https://jmp2.uk/stvp-FR300032ZK,
Investigation by Pluto TV,03 - CRIME & ENQUETES,OK,https://jmp2.uk/plu-6683cd2fca74680008772545.m3u8,
Love Crime & History,03 - CRIME & ENQUETES,OK,https://jmp2.uk/stvp-FRBD43000016D,
