name,status,source,url,info,error
6ter (1080p),FAIL-1,playlist.m3u,http://145.239.5.177/314/index.m3u8,,http://145.239.5.177/314/index.m3u8: Server returned 403 Forbidden (access denied)
arte (720p),FAIL-1,playlist.m3u,http://145.239.5.177/300/index.m3u8,,http://145.239.5.177/300/index.m3u8: Server returned 403 Forbidden (access denied)
C Star (1080p),FAIL-1,playlist.m3u,http://145.239.5.177/361/index.m3u8,,http://145.239.5.177/361/index.m3u8: Server returned 403 Forbidden (access denied)
Clubbing TV France,FAIL-1,playlist.m3u,https://d1j2csarxnwazk.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-uze1m6xh4fiyr-ssai-prd/master.m3u8,,https://d1j2csarxnwazk.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-uze1m6xh4fiyr-ssai-prd/master.m3u8: Server returned 5XX Server Error reply
France 24 French (1080p),OK-2X,playlist.m3u,https://live.france24.com/hls/live/2037179-b/F24_FR_HI_HLS/master_5000.m3u8,"video,1920,1080
audio
data

video,1920,1080
audio
data",
France 3 Cote d'Azur,OK-2X,playlist.m3u,http://89.187.185.76:8080/France3/index.m3u8,"audio
audio
video,1920,1080
audio

audio
audio
video,1920,1080
audio",
France 3 Lorraine (1080p),OK-2X,playlist.m3u,http://5.180.164.197:8080/FRANCE3/index.m3u8,"audio
audio
audio
audio
video,1920,1080

audio
audio
audio
audio
video,1920,1080",
France 4,FAIL-1,playlist.m3u,http://176.65.146.100:8047/play/a074/index.m3u8,,[tcp @ 0x55fa2ef60540] Connection to tcp://176.65.146.100:8047 failed: Connection timed out http://176.65.146.100:8047/play/a074/index.m3u8: Connection timed out
France 5 (720p),FAIL-1,playlist.m3u,http://145.239.5.177/305/index.m3u8,,http://145.239.5.177/305/index.m3u8: Server returned 403 Forbidden (access denied)
"like Gecko) Chrome/149.0.0.0 Safari/537.3"" group-title=""01 - TNT & GENERALISTES"",France 3",FAIL-1,playlist.m3u,http://85.14.32.26:8800/udp/239.100.10.144:5000,,[tcp @ 0x5585ef896b40] Connection to tcp://85.14.32.26:8800 failed: Connection timed out http://85.14.32.26:8800/udp/239.100.10.144:5000: Connection timed out
"like Gecko) Chrome/149.0.0.0 Safari/537.3"" group-title=""01 - TNT & GENERALISTES"",Gulli",OK-2X,playlist.m3u,http://99.27.51.147:8080/Gulli/index.m3u8,"audio
audio
video,720,576
audio

audio
audio
video,720,576
audio",
"like Gecko) Chrome/149.0.0.0 Safari/537.3"" group-title=""01 - TNT & GENERALISTES"",M6 (1080p)",OK-2X,playlist.m3u,http://99.27.51.147:8080/M6/index.m3u8,"audio
audio
video,1440,1080
audio

audio
audio
video,1440,1080
audio",
"like Gecko) Chrome/149.0.0.0 Safari/537.36"" group-title=""01 - TNT & GENERALISTES"",TF1 (576p)",FAIL-1,playlist.m3u,https://futbol9865.ultratv13.workers.dev/deportivo111/24.m3u8,,"https://futbol9865.ultratv13.workers.dev/deportivo111/24.m3u8: Server returned 4XX Client Error, but not one of 40{0,1,3,4}"
"like Gecko) Chrome/149.0.0.0 Safari/537.36"" group-title=""01 - TNT & GENERALISTES"",TMC (1080p)",OK-2X,playlist.m3u,http://151.80.18.177:86/TMC/index.m3u8,"video,1920,1080
audio

video,1920,1080
audio",
M6 Music (720p),FAIL-1,playlist.m3u,http://145.239.5.177/320/index.m3u8,,http://145.239.5.177/320/index.m3u8: Server returned 403 Forbidden (access denied)
TFX (720p),FAIL-1,playlist.m3u,http://145.239.5.177/315/index.m3u8,,http://145.239.5.177/315/index.m3u8: Server returned 403 Forbidden (access denied)
TVM 3 (1080p),FAIL-1,playlist.m3u,https://cache1a.netplus.ch/tok_eyJhbGciOiJIUzUxMiIsInR5cCI6IkpXVCJ9.eyJleHAiOiIxNzY4MTg5NzQyIiwic2lwIjoiIiwicGF0aCI6Ii9saXZlL2Vkcy90dm0zL2Jyb3dzZXItSExTOC8iLCJzZXNzaW9uX2Nkbl9pZCI6IjNhZmJlZTIxMmU1NjUyODEiLCJzZXNzaW9uX2lkIjoiIiwiY2xpZW50X2lkIjoiIiwiZGV2aWNlX2lkIjoiIiwibWF4X3Nlc3Npb25zIjowLCJzZXNzaW9uX2R1cmF0aW9uIjowLCJ1cmwiOiJodHRwczovLzEwLjAuMjI5LjE5Iiwic2Vzc2lvbl90aW1lb3V0IjowLCJhdWQiOiI1MyIsInNvdXJjZXMiOls0OF19.N29uj_Xo3YmdQUboW5e45wx4lUey-utXtC6RpbbCGgJ8uCl2ngejd8tu_S-3tv7s02OtkHo4Rkf7mitOx_7lcA==/live/eds/tvm3/browser-HLS8/tvm3.m3u8,,https://cache1a.netplus.ch/tok_eyJhbGciOiJIUzUxMiIsInR5cCI6IkpXVCJ9.eyJleHAiOiIxNzY4MTg5NzQyIiwic2lwIjoiIiwicGF0aCI6Ii9saXZlL2Vkcy90dm0zL2Jyb3dzZXItSExTOC8iLCJzZXNzaW9uX2Nkbl9pZCI6IjNhZmJlZTIxMmU1NjUyODEiLCJzZXNzaW9uX2lk
W9 (1080p),FAIL-1,playlist.m3u,https://origin-m6web.live.6cloud.fr/out/v1/6play/6play-w9/cmaf_q2hyb21h/hls-short-hd.m3u8,,https://origin-m6web.live.6cloud.fr/out/v1/6play/6play-w9/cmaf_q2hyb21h/hls-short-hd.m3u8: Server returned 403 Forbidden (access denied)
7 Info,OK-2X,playlist.m3u,https://video1.getstreamhosting.com:1936/8042/8042/playlist.m3u8,"data
video,1920,1080
audio

data
video,1920,1080
audio",
